country,material,price,currency,unit,source,date,source_url,extraction_date
Bolivia,Acero,13920.0,BOB,ton,Estimado (Mercado Local),2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Bolivia,Cemento,50.0,BOB,bolsa (50kg),Cadecocruz/Mercado,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Bolivia,Arena,250.0,BOB,m3,Reportes Locales,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Bolivia,Ladrillo,1.5,BOB,unidad,Promedio Local,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
USA,Acero,983.0,USD,ton,SteelBenchmarker,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
USA,Concreto,150.0,USD,m3,Market Estimate,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
USA,Madera,600.0,USD,1000 bd ft,TradingEconomics Approx,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
China,Acero,3130.0,CNY,ton,Shanghai Futures,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
China,Concreto,400.0,CNY,m3,Estimate,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Brasil,Acero,4000.0,BRL,ton,Estimativa Mercado,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Brasil,Cimento,35.0,BRL,saco (50kg),Varejo,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Argentina,Cemento,9000.0,ARS,bolsa (50kg),Estimado Local,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Argentina,Acero,1200000.0,ARS,ton,Estimado Local,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Rusia,Acero,45000.0,RUB,ton,Estimate,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
India,Acero,45000.0,INR,ton,Market Estimate,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
India,Cemento,350.0,INR,bag (50kg),Market Estimate,2024-2025 (Ref),Static Seed Data,2026-01-26 14:11:38
Kazakhstan,Apartamento (m2 Centro),1339.86,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Portugal,Apartamento (m2 Centro),4151.14,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Greece,Apartamento (m2 Centro),3243.38,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Latvia,Apartamento (m2 Centro),3028.88,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Iran,Apartamento (m2 Centro),1067.52,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Morocco,Apartamento (m2 Centro),1619.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Panama,Apartamento (m2 Centro),2962.93,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Iraq,Apartamento (m2 Centro),1525.26,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Chile,Apartamento (m2 Centro),2375.31,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Nepal,Apartamento (m2 Centro),2289.16,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Argentina,Apartamento (m2 Centro),2199.09,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Ukraine,Apartamento (m2 Centro),1461.02,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Bahrain,Apartamento (m2 Centro),2642.57,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
India,Apartamento (m2 Centro),1291.91,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Canada,Apartamento (m2 Centro),4982.72,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
