country,material,price,currency,unit,source,date,source_url,extraction_date
Argentina,Acero,1200000.0,ARS,ton,Estimado Local,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Bolivia,Acero,13920.0,BOB,ton,Estimado (Mercado Local),2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Brasil,Acero,4000.0,BRL,ton,Estimativa Mercado,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
China,Acero,3130.0,CNY,ton,Shanghai Futures,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
India,Acero,45000.0,INR,ton,Market Estimate,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Rusia,Acero,45000.0,RUB,ton,Estimate,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
USA,Acero,983.0,USD,ton,SteelBenchmarker,2024-2025 (Ref),Static Seed Data,2026-01-27 14:07:40
Albania,Apartamento (m2 Centro),2837.86,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Algeria,Apartamento (m2 Centro),1233.08,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Argentina,Apartamento (m2 Centro),2199.09,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Armenia,Apartamento (m2 Centro),3261.48,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Australia,Apartamento (m2 Centro),7472.46,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Austria,Apartamento (m2 Centro),7310.56,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Azerbaijan,Apartamento (m2 Centro),2098.15,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Bahrain,Apartamento (m2 Centro),2603.95,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Bangladesh,Apartamento (m2 Centro),880.7,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Belarus,Apartamento (m2 Centro),1767.44,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Belgium,Apartamento (m2 Centro),4474.77,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Bolivia,Apartamento (m2 Centro),1260.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Bosnia And Herzegovina,Apartamento (m2 Centro),2548.79,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Brazil,Apartamento (m2 Centro),1809.98,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Bulgaria,Apartamento (m2 Centro),2478.36,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Canada,Apartamento (m2 Centro),4956.44,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Chile,Apartamento (m2 Centro),2383.67,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
China,Apartamento (m2 Centro),5304.4,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Colombia,Apartamento (m2 Centro),1949.28,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Costa Rica,Apartamento (m2 Centro),2348.96,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Croatia,Apartamento (m2 Centro),4753.79,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Cuba,Apartamento (m2 Centro),373.76,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Cyprus,Apartamento (m2 Centro),3913.78,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Czech Republic,Apartamento (m2 Centro),5576.49,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Denmark,Apartamento (m2 Centro),6098.77,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Dominican Republic,Apartamento (m2 Centro),2232.23,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Ecuador,Apartamento (m2 Centro),1536.53,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Egypt,Apartamento (m2 Centro),808.04,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
Estonia,Apartamento (m2 Centro),4409.04,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-27 14:07:40
