pais,iso_alpha,titular,enlace,fecha
España,ESP,Al menos 39 muertos en el choque de dos trenes de alta velocidad en España,https://elpais.com/espana/2026-01-18/ultima-hora-del-descarrilamiento-de-dos-trenes-en-adamuz.html,2026-01-19 13:18
España,ESP,Pedro Sánchez promete esclarecer las causas del accidente y destaca que “el Estado actúa unido”,https://elpais.com/espana/2026-01-19/sanchez-promete-esclarecer-las-causas-del-accidente-y-destaca-que-el-estado-actua-unido.html,2026-01-19 13:18
España,ESP,Claves visuales del accidente,https://elpais.com/espana/2026-01-19/que-ha-pasado-una-primera-reconstruccion-visual-del-accidente-de-adamuz.html,2026-01-19 13:18
España,ESP,Ana viajaba junto a su hermana en uno de los trenes: “Había gente muy mal. Sabías que se iban y no podías hacer nada”,https://elpais.com/espana/2026-01-19/rocio-ingresada-en-el-hospital-regresaba-a-huelva-tras-presentarse-a-unas-oposiciones-volamos-por-los-aires-fue-un-caos-total.html,2026-01-19 13:18
España,ESP,Los 20 segundos entre el descarrilamiento y el choque impidieron que se activara el freno,https://elpais.com/economia/2026-01-19/fernandez-heredia-renfe-el-intervalo-de-tiempo-entre-el-descarrilamiento-y-el-choque-ha-sido-de-20-segundos.html,2026-01-19 13:18
Reino Unido,GBR,Trump's texts with Norway's PM linking Nobel Peace Prize to Greenland dispute released in full,https://www.bbc.com/news/live/cx2k7gv0znmt,2026-01-19 13:18
Reino Unido,GBR,Trump ties Greenland demands to Nobel Prize in message to Norway leader,https://www.bbc.com/news/articles/cy7mev35x2lo,2026-01-19 13:18
Reino Unido,GBR,'Shameful' and 'terrible look' - the chaos that marred Senegal's Afcon triumph,https://www.bbc.com/sport/football/articles/c70ljednyl6o,2026-01-19 13:18
Reino Unido,GBR,Swiss deadly fire bar owners' lawyers condemn 'vindictiveness',https://www.bbc.com/news/articles/c5yvl4x3nqeo,2026-01-19 13:18
Reino Unido,GBR,Spain PM vows to find answers after high-speed rail crash that killed 39 people,https://www.bbc.com/news/live/c07xvp0mengt,2026-01-19 13:18
Francia,FRA,Guides d’achat,No encontrado,2026-01-19 13:18
Francia,FRA,Jeux gratuits d’arcade,No encontrado,2026-01-19 13:18
Francia,FRA,Services Le Monde,No encontrado,2026-01-19 13:18
Francia,FRA,Guides d'achat Le Monde,No encontrado,2026-01-19 13:18
Francia,FRA,Le Monde à l'international,No encontrado,2026-01-19 13:18
Alemania,DEU,Antisemitismus an Hochschulen: Bayern plant Exmatrikulation für Störer an UnisVor 22 Min,https://www.spiegel.de/panorama/antisemitismus-an-unis-bayern-plant-exmatrikulation-fuer-stoerer-a-cdffb0c7-14cb-49c4-a269-d2eadb8e9da1,2026-01-19 13:18
Alemania,DEU,Die Lage am Abend: Können Sie mir Staathilfe geben?Vor 24 Min,https://www.spiegel.de/politik/deutschland/news-des-tages-elektroautos-donald-trump-in-davos-zugunglueck-in-spanien-a-940c4289-cf06-4f42-8f41-e563a752b348,2026-01-19 13:18
Alemania,DEU,Kuh Veronika und ihr Werkzeug: »Mit den Jahren hat sie ihre Technik immer weiter verfeinert«Vor 30 Min,https://www.spiegel.de/wissenschaft/natur/kuh-veronika-biologin-hat-gebrauch-von-stoeckern-und-besen-bei-einem-rind-untersucht-a-13c29a30-5ca2-4b61-bb01-1366406bee68,2026-01-19 13:18
Alemania,DEU,Britische Boulevardpresse: Prinz Harry gegen die »Daily Mail« – darum geht es bei dem ProzessVor 43 Min,https://www.spiegel.de/panorama/leute/prinz-harry-gegen-die-daily-mail-darum-geht-es-in-dem-prozess-in-london-a-e1d1e4b7-b9f9-4efb-9f4c-75a6fd8f62ad,2026-01-19 13:18
Alemania,DEU,Tipps vom Karrierecoach: Sollten wir zu zweit ins Gehaltsgespräch gehen?Vor 1 Stunde,https://www.spiegel.de/karriere/gehaltsverhandlungen-zu-zweit-mehr-gehalt-fordern-tipps-vom-karrierecoach-a-8af0eb4b-f415-4cf8-b064-7ef1d1adaef6,2026-01-19 13:18
Italia,ITA,"Rep50, la festa all'Auditorium: letture, risate, incontri e dietro le quinte |La mostraprenotati gratuitamente",https://www.repubblica.it/cultura/dossier/1976-2026-repubblica-50-una-storia-di-futuro/2026/01/19/video/rep50_la_festa_allauditorium_letture_risate_incontri_e_dietro_le_quinte-425104576/,2026-01-19 13:18
Italia,ITA,"Addio a Valentino Garavani, l’imperatore della moda: aveva 93 anni",https://d.repubblica.it/fashion/moda/2026/01/19/news/valentino_garavani_morto-425104906/,2026-01-19 13:18
Italia,ITA,La direttaVenerdì i funerali a Roma. Meloni: “L'Italia perde una leggenda”,https://www.repubblica.it/spettacoli/2026/01/19/diretta/morto_valentino_garavani_stilista_reazioni_news-425105006/,2026-01-19 13:18
Italia,ITA,I suoi amori: due sole eccezioni alla scelta della privacy,https://d.repubblica.it/culture/celebrity/2026/01/19/news/gli_amori_di_valentino_garavani-425104917/,2026-01-19 13:18
Italia,ITA,Il più indossato da principesse e regine,https://d.repubblica.it/reali/2026/01/19/news/valentino_abiti_royals_principesse_regina_sofia_spagna-425104944/,2026-01-19 13:18
