Fuente,Material,Precio_BS,Fecha_Consulta
Tailoy,Marcador Vinifan Children 47 Estuche Zipper X 12 Unidades,38.5,2026-01-21
Tailoy,Marcador Artesco X 12 Unidades,84.0,2026-01-21
Tailoy,Marcador Artesco Dual Brush Básico X 6 Und,32.2,2026-01-21
Tailoy,Marcador Artesco Fine Liner De Punta Sketch X 24 Und,150.0,2026-01-21
Tailoy,Marcadores Artesco Marcatodo Pastel X6,25.9,2026-01-21
Tailoy,Marcador Artesco Outliners X6,52.1,2026-01-21
Tailoy,Marcador Faber Castell N° 45 X 6 Unidades Neón,18.9,2026-01-21
Tailoy,Colores Largos Jumbo Artesco Triangulares X 12 Und,41.3,2026-01-21
Tailoy,Marcadores Artesco Delgados Max- 45 X 12 Unidades,19.3,2026-01-21
Tailoy,Colores Largos Artesco Triangulares X 36 Und,68.5,2026-01-21
Tailoy,Marcadores Artesco Gruesos Aquamax 47 X 12 Unidades,42.8,2026-01-21
Tailoy,Colores Largos Faber Castell Triangulares Pastel X 10 Und,19.7,2026-01-21
Tailoy,Marcador Artesco Duo Color 47 Estuche X 6/12 Unidades,26.9,2026-01-21
Tailoy,Colores Largos Vinifan Triangulares Pasteles Caja X 10 Und,21.0,2026-01-21
Tailoy,Colores Largos Ove Triangulares Tubo X 24 Und,40.1,2026-01-21
Tailoy,Témpera Artesco Set X 6 Colores + Pincel + Paleta,22.1,2026-01-21
Tailoy,Colores Largos Maped Colorpeps X 12 Und,29.5,2026-01-21
Tailoy,Marcadores Artesco Gruesos Aquamax 47 X 10 Unidades,32.1,2026-01-21
Tailoy,Colores Largos Acuarelables Artesco + Pincel + Sacapunta X 12 Und,34.3,2026-01-21
Tailoy,Colores Largos Artesco Triangulares X 48 Und,108.9,2026-01-21
Tailoy,Colores Largos Jumbo Vinifan Triangulares X 12 Und,39.1,2026-01-21
Tailoy,Plumón Maped Colorpeps Duo Colors X 10 Und,67.6,2026-01-21
Tailoy,Témpera Ove Neón X 6 Und,29.9,2026-01-21
Tailoy,Colores Largos Faber Castell Hexagonal + 6 Neón X 12 Und,63.6,2026-01-21
Tailoy,Colores Largos Faber Castell Hexagonal X 72 Und,127.5,2026-01-21
Tailoy,,0.0,2026-01-21
Tailoy,,0.0,2026-01-21
Libreria Brasil,Cuaderno empastado Cuadriculado 5mm Tamaño Medio Oficio TOP – 100 Hojas (Colores Varios),21.0,2026-01-21
Libreria Brasil,Cuaderno Espiral para Zurdos (Apertura Superior) Cuadriculado 5mm Tamaño Medio Oficio ABC – Colores Varios,17.0,2026-01-21
Libreria Brasil,Cuaderno Espiral Cuadriculado 5mm Tamaño Medio Oficio con Margen Color Marca ABC – Colores Varios,16.0,2026-01-21
Libreria Brasil,Cuaderno Espiral Cuadriculado 4mm Tamaño Oficio con Margen Color Marca ABC – Colores Varios,28.0,2026-01-21
Libreria Brasil,Cuaderno Espiral Cuadriculado 4mm Tamaño Carta Marca ABC – Colores Varios,23.0,2026-01-21
Libreria Brasil,Lapices de Colores hexagonales de 24 unidades marca Faber Castell,60.0,2026-01-21
Libreria Brasil,Lapices de Colores Triangulares de 12 unidades marca Faber Castell,38.0,2026-01-21
Libreria Brasil,Estuche Geométrico marca Madison de 30 cm,18.0,2026-01-21
Libreria Brasil,Estuche Geométrico marca Pelikan 30 cm – Kit Técnico con Compás de Precisión,29.0,2026-01-21
Libreria Brasil,Estuche Geométrico marca Maped de 30 cm – Set Clásico de 4 Piezas Rígidas,25.0,2026-01-21
Libreria Brasil,Estuche Geométrico marca Maped Geo Metric 30 cm – Kit Rígido y Ecológico (4 Piezas),30.0,2026-01-21
Libreria Brasil,Estuche Geométrico marca Maped Incassable – 30 cm Flexible e Irrompible,39.0,2026-01-21
Libreria Brasil,Estuche Geométrico marca Sabonis 30 cm – Kit Técnico Completo,27.0,2026-01-21
Libreria Brasil,Estuche Geométrico Técnico marca Keyroad 30 cm – Kit con Compás de Precisión,36.0,2026-01-21
Libreria Brasil,Estuche Geometrico marca Keyroad Drawing Set – 30 cm de Alta Precisión (4 Piezas),25.0,2026-01-21
Libreria Brasil,Estuche Geométrico marca Madison de 30 cm,18.0,2026-01-21
Libreria Brasil,Crayones de Cera Jumbo Cra-Z-Art – 8 Colores Brillantes para Manos Pequeñas,22.0,2026-01-21
Libreria Brasil,Caja de 96 Crayones Cra-Z-Art – ¡Incluye Tajador y un Marcador Sorpresa!,115.0,2026-01-21
Libreria Brasil,Crayones de Cera Cra-Z-Art – Set de 24 Colores de Calidad Escolar Superior,45.0,2026-01-21
Libreria Brasil,Set de 8 Crayones de Cera Cra-Z-Art – Colores Clásicos y Brillantes para Preescolar,10.0,2026-01-21
Libreria Brasil,Mega Set de 50 Marcadores Lavables SuperTip Cra-Z-Art – Punta Versátil para Trazos Finos y Gruesos,250.0,2026-01-21
Libreria Brasil,Set de 20 Marcadores Lavables Fineline Cra-Z-Art – Punta Fina de Alta Precisión,60.0,2026-01-21
Libreria Brasil,Set de 10 Marcadores Lavables Cra-Z-Art – Colores Brillantes y Ultra Lavables,48.0,2026-01-21
Libreria Brasil,Set de 8 Marcadores Lavables Cra-Z-Art – Colores Vibrantes y Fácil Limpieza,38.0,2026-01-21
Libreria Brasil,Set de 24 Lápices de Colores Retráctiles Cra-Z-Art Twist-up – Gran Variedad de Colores,95.0,2026-01-21
Libreria Brasil,Set de 15 Lápices de Colores Borrables Cra-Z-Art – 12 Colores + 3 Bonus de Regalo,56.0,2026-01-21
Libreria Brasil,Mega Set de 72 Lápices de Colores Cra-Z-Art,185.0,2026-01-21
Libreria Brasil,Set de 36 Lápices de Colores Cra-Z-Art – Paleta Profesional de Colores Brillantes,83.0,2026-01-21
Libreria Brasil,Set de 24 Lápices de Colores Cra-Z-Art – Gama Ampliada de Colores Brillantes,60.0,2026-01-21
Libreria Brasil,Set de 12 Lápices de Colores Cra-Z-Art – Colores Brillantes,30.0,2026-01-21
Libreria Brasil,Set de 12 EcoLápices de Colores Jumbo Triangulares Faber-Castell + 2 Ecolápices,68.0,2026-01-21
Libreria Brasil,"Crayola Colored Pencils 24, Colores del Mundo, Tonos de Piel Lápices de Colores",98.0,2026-01-21
Libreria Brasil,Colores Dinosaurio Faber Castell x 12+2 Efecto Multicolor,42.0,2026-01-21
Libreria Brasil,Colores Unicornio Faber Castell x 12+2 Efecto Multicolor,42.0,2026-01-21
